Rank,Symbol,Company Name,Sector,Close,Pct Change,Today Volume,15D Avg Volume,Volume Ratio,Days of Data,Date
584,GLAXO.NS,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,2181.0,-0.36,53249,112270,0.4743,16,2026-06-03
585,LUPIN.NS,Lupin Ltd.,Healthcare,2261.2,0.51,570263,1206640,0.4726,16,2026-06-03
586,GANECOS.NS,Ganesha Ecosphere Ltd.,Textiles,931.95,0.75,136274,289245,0.4711,16,2026-06-03
587,ENDURANCE.NS,Endurance Technologies Ltd.,Automobile and Auto Components,2635.4,-1.93,74621,158484,0.4708,16,2026-06-03
588,BHARTIHEXA.NS,Bharti Hexacom Ltd.,Telecommunication,1496.2,0.44,52940,112647,0.47,16,2026-06-03
589,CERA.NS,Cera Sanitaryware Ltd,Consumer Durables,5577.0,-0.5,4395,9357,0.4697,16,2026-06-03
590,MARKSANS.NS,Marksans Pharma Ltd.,Healthcare,242.37,0.49,2708410,5810822,0.4661,16,2026-06-03
591,SUPREMEIND.NS,Supreme Industries Ltd.,Capital Goods,3572.9,0.56,67033,144669,0.4634,16,2026-06-03
592,JSWENERGY.NS,JSW Energy Ltd.,Power,580.2,-1.42,1996360,4317429,0.4624,16,2026-06-03
593,KIRLOSENG.NS,Kirloskar Oil Eng Ltd.,Capital Goods,1889.5,1.76,250338,542740,0.4612,16,2026-06-03
594,GREENPANEL.NS,Greenpanel Industries Ltd.,Consumer Durables,187.08,-1.35,124617,271071,0.4597,16,2026-06-03
595,SOBHA.NS,Sobha Ltd.,Realty,1382.0,-0.36,39288,85483,0.4596,16,2026-06-03
596,DATAPATTNS.NS,Data Patterns (India) Ltd.,Capital Goods,3990.4,-0.86,478449,1041845,0.4592,16,2026-06-03
597,THOMASCOOK.NS,Thomas Cook (India) Ltd.,Consumer Services,91.44,-0.58,798565,1746499,0.4572,16,2026-06-03
598,RELIGARE.NS,Religare Enterprises Ltd.,Financial Services,232.79,-1.25,562894,1233141,0.4565,16,2026-06-03
599,ZYDUSLIFE.NS,Zydus Lifesciences Ltd.,Healthcare,1076.6,-0.16,1403317,3076467,0.4561,16,2026-06-03
600,ZFCVINDIA.NS,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,14557.0,1.88,7822,17186,0.4551,16,2026-06-03
601,AFFLE.NS,Affle 3i Ltd.,Information Technology,1469.6,-1.95,105470,233087,0.4525,16,2026-06-03
602,BALKRISIND.NS,Balkrishna Industries Ltd.,Automobile and Auto Components,2200.4,2.33,111770,248751,0.4493,16,2026-06-03
603,ABCAPITAL.NS,Aditya Birla Capital Ltd.,Financial Services,348.75,-0.73,1782116,3968098,0.4491,16,2026-06-03
604,PRAJIND.NS,Praj Industries Ltd.,Capital Goods,344.55,-1.15,548671,1228060,0.4468,16,2026-06-03
605,RAMCOCEM.NS,The Ramco Cements Ltd.,Construction Materials,859.85,-1.33,103844,232775,0.4461,16,2026-06-03
606,RADICO.NS,Radico Khaitan Ltd,Fast Moving Consumer Goods,3464.1,-0.67,159412,357494,0.4459,16,2026-06-03
607,AWFIS.NS,Awfis Space Solutions Ltd.,Services,311.55,-1.77,267034,600048,0.445,16,2026-06-03
608,KEC.NS,Kec International Ltd.,Construction,498.05,-0.12,659677,1487523,0.4435,16,2026-06-03
609,GODFRYPHLP.NS,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,2246.9,-1.21,381304,859669,0.4435,16,2026-06-03
610,RCF.NS,Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,128.12,0.89,1179196,2672363,0.4413,16,2026-06-03
611,DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,Healthcare,1263.3,-0.84,1226381,2790194,0.4395,16,2026-06-03
612,LATENTVIEW.NS,Latent View Analytics Ltd.,Information Technology,314.05,-3.46,808096,1841412,0.4388,16,2026-06-03
613,PCBL.NS,PCBL Chemical Ltd.,Chemicals,290.9,-0.12,912546,2084991,0.4377,16,2026-06-03
614,DYNAMATECH.NS,Dynamatic Technologies Ltd.,Capital Goods,10472.0,1.46,12542,28657,0.4377,16,2026-06-03
615,VIJAYA.NS,Vijaya Diagnostic Centre Ltd.,Healthcare,1279.4,-2.85,109859,252118,0.4357,16,2026-06-03
616,HEMIPROP.NS,Hemisphere Properties India Ltd.,Services,139.27,-0.76,437286,1005339,0.435,16,2026-06-03
617,COROMANDEL.NS,Coromandel International Ltd.,Chemicals,1745.6,-0.72,187175,432092,0.4332,16,2026-06-03
618,CESC.NS,CESC Ltd.,Power,180.36,0.82,1267162,2928052,0.4328,16,2026-06-03
619,GARFIBRES.NS,Garware Technical Fibres Ltd.,Textiles,653.4,-1.1,26116,60470,0.4319,16,2026-06-03
620,NIVABUPA.NS,Niva Bupa Health Insurance Company Ltd.,Financial Services,84.03,0.0,723196,1690856,0.4277,16,2026-06-03
621,CEATLTD.NS,Ceat Ltd.,Automobile and Auto Components,3184.6,-1.19,49723,116432,0.4271,16,2026-06-03
622,BIOCON.NS,Biocon Ltd.,Healthcare,412.45,-1.04,2368124,5548531,0.4268,16,2026-06-03
623,PTC.NS,PTC India Ltd.,Power,185.2,-1.73,642778,1508293,0.4262,16,2026-06-03
624,INDIGOPNTS.NS,Indigo Paints Ltd.,Consumer Durables,964.7,-1.26,76611,179738,0.4262,16,2026-06-03
625,NTPCGREEN.NS,NTPC Green Energy Ltd.,Power,101.06,-0.28,2630575,6211681,0.4235,16,2026-06-03
626,PGHH.NS,Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,9299.0,-0.91,5868,13879,0.4228,16,2026-06-03
627,DODLA.NS,Dodla Dairy Ltd.,Fast Moving Consumer Goods,1100.6,0.22,11572,27553,0.42,16,2026-06-03
628,ADANIENT.NS,Adani Enterprises Ltd.,Metals & Mining,2925.6,-1.43,1346083,3212403,0.419,16,2026-06-03
629,ASKAUTOLTD.NS,ASK Automotive Ltd.,Automobile and Auto Components,437.45,-0.69,55940,134143,0.417,16,2026-06-03
630,CGCL.NS,Capri Global Capital Ltd.,Financial Services,201.36,1.3,1484665,3565507,0.4164,16,2026-06-03
631,INOXINDIA.NS,INOX India Ltd.,Capital Goods,1476.6,1.68,82817,199395,0.4153,16,2026-06-03
632,JWL.NS,Jupiter Wagons Ltd.,Capital Goods,280.35,-1.32,1163306,2812587,0.4136,16,2026-06-03
633,EMIL.NS,Electronics Mart India Ltd.,Consumer Services,111.36,-1.92,630688,1551767,0.4064,16,2026-06-03
634,SYNGENE.NS,Syngene International Ltd.,Healthcare,438.1,-0.62,319359,786465,0.4061,16,2026-06-03
635,ICICIPRULI.NS,ICICI Prudential Life Insurance Company Ltd.,Financial Services,476.9,-1.15,856829,2124457,0.4033,16,2026-06-03
636,KIRLOSBROS.NS,Kirloskar Brothers Ltd.,Capital Goods,1614.1,-0.33,29555,73444,0.4024,16,2026-06-03
637,GRASIM.NS,Grasim Industries Ltd.,Construction Materials,3101.6,0.13,460351,1153497,0.3991,16,2026-06-03
638,SARDAEN.NS,Sarda Energy and Minerals Ltd.,Metals & Mining,520.7,0.08,254055,638769,0.3977,16,2026-06-03
639,GMRP&UI.NS,GMR Power and Urban Infra Ltd.,Power,109.21,-2.23,1219128,3090419,0.3945,16,2026-06-03
640,BANCOINDIA.NS,Banco Products (India) Ltd.,Automobile and Auto Components,651.7,-0.47,119427,304794,0.3918,16,2026-06-03
