Symbol,Company Name,Sector
ERIS.NS,Eris Lifesciences Ltd,Pharma
ESCORTS.NS,Escorts Kubota Ltd,Automobile
ETERNAL.NS,ETERNAL,Other
ETHOSLTD.NS,ETHOSLTD,Other
EUREKAFORB.NS,EUREKAFORB,Other
EXIDEIND.NS,Exide Industries Ltd,Auto Ancillary
FDC.NS,FDC,Other
NYKAA.NS,FSN E-Commerce Ventures Ltd,Retail
FEDERALBNK.NS,Federal Bank Ltd,Banking
FACT.NS,FACT,Other
FIEMIND.NS,FIEMIND,Other
FINEORG.NS,Fine Organic Industries Ltd,Chemicals
FINCABLES.NS,FINCABLES,Other
FINPIPE.NS,FINPIPE,Other
FSL.NS,Firstsource Solutions Ltd,Technology
FIVESTAR.NS,FIVESTAR,Other
FORCEMOT.NS,FORCEMOT,Other
FORTIS.NS,Fortis Healthcare Ltd,Healthcare
GRINFRA.NS,GRINFRA,Other
GAIL.NS,GAIL India Ltd,Energy
GVT&D.NS,GVT&D,Other
GHCL.NS,GHCL,Other
GMMPFAUDLR.NS,GMMPFAUDLR,Other
GMRAIRPORT.NS,GMR Airports Infrastructure Ltd,Infrastructure
GMRP&UI.NS,GMRP&UI,Other
GABRIEL.NS,Gabriel India Ltd,Auto Ancillary
GALLANTT.NS,GALLANTT,Other
GANESHHOU.NS,GANESHHOU,Other
GANECOS.NS,GANECOS,Other
GRSE.NS,Garden Reach Shipbuilders and Engineers,Defence
GRWRHITECH.NS,GRWRHITECH,Other
GARFIBRES.NS,GARFIBRES,Other
GATEWAY.NS,GATEWAY,Other
GICRE.NS,GICRE,Other
GILLETTE.NS,GILLETTE,Other
GLAND.NS,Gland Pharma Ltd,Pharma
GLAXO.NS,GLAXO,Other
GLENMARK.NS,Glenmark Pharmaceuticals Ltd,Pharma
MEDANTA.NS,Global Health Ltd,Healthcare
GODIGIT.NS,Go Digit General Insurance Ltd,Insurance
GPIL.NS,GPIL,Other
GODFRYPHLP.NS,GODFRYPHLP,Other
GODREJAGRO.NS,GODREJAGRO,Other
GODREJCP.NS,Godrej Consumer Products Ltd,FMCG
GODREJIND.NS,Godrej Industries Ltd,Conglomerate
GODREJPROP.NS,Godrej Properties Ltd,Real Estate
GOKEX.NS,GOKEX,Other
GRANULES.NS,Granules India Ltd,Pharma
GRAPHITE.NS,GRAPHITE,Other
GRASIM.NS,GRASIM,Other
GRAVITA.NS,GRAVITA,Other
GESHIP.NS,GESHIP,Other
GREAVESCOT.NS,GREAVESCOT,Other
GREENPANEL.NS,Greenpanel Industries Ltd,Construction Materials
GAEL.NS,GAEL,Other
FLUOROCHEM.NS,Gujarat Fluorochemicals Ltd,Chemicals
GUJGASLTD.NS,Gujarat Gas Ltd,Energy
GMDCLTD.NS,Gujarat Mineral Development Corp Ltd,Metals
GNFC.NS,GNFC,Other
GPPL.NS,GPPL,Other
GSFC.NS,GSFC,Other
GSPL.NS,GSPL,Other
GULFOILLUB.NS,GULFOILLUB,Other
HEG.NS,HEG,Other
